,name,male,female
246,miriam,0.0,1.0
247,reid,1.0,0.0
248,ashton,1.0,0.0
249,,1.0,1.0
250,ryan,0.0,1.0
251,tommy,1.0,1.0
252,mohammed,1.0,0.0
253,,1.0,1.0
254,austin,1.0,1.0
255,matteo,1.0,0.0
256,mick,1.0,0.0
257,joe,1.0,0.0
258,andres,1.0,0.0
259,,1.0,1.0
260,shin,1.0,1.0
261,rick,1.0,0.0
262,,1.0,1.0
263,connor,0.0,1.0
264,l,1.0,1.0
265,robert,1.0,0.0
266,ronnie,0.0,1.0
267,joseph,1.0,0.0
268,john,1.0,0.0
269,,1.0,1.0
270,teresa,0.0,1.0
271,,1.0,1.0
272,nick,1.0,0.0
273,h,1.0,0.0
274,tony,1.0,1.0
275,matteo,1.0,0.0
276,mick,1.0,0.0
277,joe,1.0,0.0
278,andres,1.0,0.0
279,,1.0,1.0
280,shin,1.0,1.0
281,rick,1.0,0.0
282,,1.0,1.0
283,connor,0.0,1.0
284,l,1.0,1.0
285,robert,1.0,0.0
286,ronnie,0.0,1.0
287,joseph,1.0,0.0
288,john,1.0,0.0
289,,1.0,1.0
290,teresa,0.0,1.0
291,,1.0,1.0
292,nick,1.0,0.0
293,h,1.0,0.0
294,rob,1.0,0.0
295,jonah,1.0,0.0
296,mateo,1.0,0.0
297,danny,0.0,1.0
298,,1.0,1.0
299,,1.0,1.0
300,oliver,1.0,0.0
301,john,1.0,0.0
302,jill,0.0,1.0
303,everybody,0.0,1.0
304,,1.0,1.0
305,john,1.0,0.0
306,slade,1.0,0.0
307,josh,1.0,0.0
308,major,1.0,0.0
309,,1.0,1.0
310,,1.0,1.0
311,edward,1.0,0.0
312,james,1.0,0.0
313,,1.0,1.0
314,,1.0,1.0
315,augusto,1.0,0.0
316,,1.0,1.0
317,,1.0,1.0
318,leandra,0.0,1.0
319,mario,1.0,0.0
320,beau,1.0,1.0
321,,1.0,1.0
322,mj,1.0,1.0
323,felipe,0.0,1.0
324,ilsa,0.0,1.0
325,alan,1.0,0.0
326,natalie,0.0,1.0
327,tim,1.0,1.0
328,t,1.0,0.0
329,,1.0,1.0
330,john,1.0,0.0
331,,1.0,1.0
332,nicholas%20,1.0,0.0
333,,1.0,1.0
334,clayton,1.0,0.0
335,benjamin,1.0,0.0
336,,1.0,1.0
337,brandon,1.0,0.0
338,kyle,1.0,1.0
339,,1.0,1.0
340,augusto,1.0,0.0
341,,1.0,1.0
342,,1.0,1.0
343,leandra,0.0,1.0
344,mario,1.0,0.0
345,beau,1.0,1.0
346,,1.0,1.0
347,mj,1.0,1.0
348,felipe,0.0,1.0
349,ilsa,0.0,1.0
350,alan,1.0,0.0
351,natalie,0.0,1.0
352,tim,1.0,1.0
353,t,1.0,0.0
354,t,1.0,0.0
355,,1.0,1.0
356,john,1.0,0.0
357,,1.0,1.0
358,nicholas%20,1.0,0.0
359,,1.0,1.0
360,jan,1.0,1.0
361,somchai,1.0,0.0
362,luqman,1.0,0.0
363,talha,0.0,1.0
