,first_name,male_x,female_x,sex_x,male_y,female_y,sex_y
123,gene,1.0,1.0,both,1.0,1.0,both
124,george,1.0,1.0,both,1.0,1.0,both
125,gerald,1.0,0.0,male,1.0,0.0,male
126,gil,1.0,0.0,male,1.0,0.0,male
127,gilles,1.0,0.0,male,1.0,1.0,both
128,glen,1.0,1.0,both,0.0,1.0,female
129,greg,1.0,0.0,male,1.0,0.0,male
130,gregory,1.0,0.0,male,1.0,0.0,male
131,guillaume,1.0,0.0,male,1.0,0.0,male
132,h,1.0,0.0,male,1.0,0.0,male
133,hals,1.0,0.0,male,1.0,0.0,male
134,handan,1.0,0.0,male,1.0,0.0,male
135,hedley,1.0,1.0,both,0.0,1.0,female
136,helen,0.0,1.0,female,0.0,1.0,female
137,henry,1.0,0.0,male,1.0,0.0,male
138,henry_macyd,1.0,0.0,male,1.0,0.0,male
139,hugh,1.0,0.0,male,1.0,0.0,male
140,ian,1.0,0.0,male,1.0,0.0,male
141,ilsa,0.0,1.0,female,0.0,1.0,female
142,im,1.0,0.0,male,1.0,0.0,male
143,israel,1.0,0.0,male,1.0,0.0,male
144,istvan,1.0,0.0,male,1.0,0.0,male
145,j,1.0,1.0,both,1.0,0.0,male
146,jacob,1.0,0.0,male,1.0,0.0,male
147,jacque,0.0,1.0,female,0.0,1.0,female
148,jaeson,1.0,0.0,male,1.0,0.0,male
149,jaime,0.0,1.0,female,0.0,1.0,female
150,jake,1.0,0.0,male,1.0,0.0,male
151,james,1.0,0.0,male,1.0,0.0,male
152,jan,1.0,1.0,both,1.0,1.0,both
153,jar,1.0,0.0,male,1.0,0.0,male
154,jared,1.0,0.0,male,1.0,0.0,male
155,jason,1.0,0.0,male,1.0,0.0,male
156,jd,1.0,0.0,male,1.0,0.0,male
157,jeff,1.0,0.0,male,1.0,0.0,male
158,jeremy,1.0,0.0,male,1.0,0.0,male
159,jeroen,1.0,0.0,male,1.0,0.0,male
160,jeromy,1.0,0.0,male,1.0,0.0,male
161,jerry,1.0,1.0,both,1.0,1.0,both
162,jill,0.0,1.0,female,0.0,1.0,female
163,jim,1.0,0.0,male,1.0,0.0,male
164,jin,1.0,0.0,male,1.0,0.0,male
165,joaquim,1.0,0.0,male,1.0,0.0,male
166,joe,1.0,0.0,male,1.0,0.0,male
167,joel,0.0,1.0,female,1.0,0.0,male
168,john,1.0,0.0,male,1.0,0.0,male
169,jon,1.0,0.0,male,1.0,0.0,male
170,jonah,0.0,1.0,female,1.0,0.0,male
171,jonathan,1.0,0.0,male,1.0,0.0,male
172,jonathon,1.0,0.0,male,1.0,0.0,male
173,joo,1.0,1.0,both,1.0,1.0,both
174,jose,1.0,0.0,male,0.0,0.0,both
175,jose%20,1.0,0.0,male,1.0,0.0,male
176,joseph,1.0,0.0,male,1.0,0.0,male
177,josh,1.0,0.0,male,1.0,0.0,male
178,josh%20,1.0,0.0,male,1.0,0.0,male
179,joshua,1.0,0.0,male,1.0,0.0,male
180,jr,1.0,0.0,male,1.0,0.0,male
181,juan,1.0,0.0,male,1.0,0.0,male
182,judson,1.0,0.0,male,1.0,0.0,male
183,justin,1.0,1.0,both,1.0,0.0,male
184,k,1.0,0.0,male,1.0,0.0,male
185,kai,0.0,1.0,female,1.0,1.0,both
186,karl,0.0,1.0,female,1.0,0.0,male
187,katie,0.0,1.0,female,0.0,1.0,female
188,keith,0.0,1.0,female,1.0,0.0,male
189,kenneth,1.0,0.0,male,1.0,0.0,male
190,kenny,1.0,0.0,male,1.0,0.0,male
191,kevin,1.0,0.0,male,1.0,0.0,male
192,kevin%20,1.0,0.0,male,1.0,0.0,male
193,khoi,0.0,1.0,female,0.0,1.0,female
194,kieran,0.0,1.0,female,1.0,1.0,both
195,komgrich,1.0,0.0,male,1.0,0.0,male
196,kwarkon,1.0,0.0,male,1.0,0.0,male
197,kyle,1.0,1.0,both,1.0,0.0,male
198,l,1.0,1.0,both,1.0,1.0,both
199,larry,1.0,0.0,male,1.0,0.0,male
200,laura,0.0,1.0,female,0.0,1.0,female
201,laurence,1.0,0.0,male,1.0,0.0,male
202,le,1.0,1.0,both,1.0,1.0,both
203,leandra,0.0,1.0,female,0.0,1.0,female
204,lee,1.0,1.0,both,0.0,1.0,female
205,lezlier,0.0,1.0,female,1.0,1.0,both
206,linn,1.0,1.0,both,0.0,1.0,female
207,lisa,0.0,1.0,female,0.0,1.0,female
208,liz,0.0,1.0,female,0.0,1.0,female
209,logan,1.0,0.0,male,1.0,0.0,male
210,lucia,0.0,1.0,female,0.0,1.0,female
211,luke,1.0,0.0,male,1.0,0.0,male
212,luqman,1.0,0.0,male,1.0,0.0,male
213,lydia,0.0,1.0,female,0.0,1.0,female
214,m,1.0,0.0,male,1.0,0.0,male
215,madisshya,0.0,1.0,female,0.0,1.0,female
216,major,1.0,0.0,male,1.0,0.0,male
217,manu,1.0,0.0,male,1.0,0.0,male
218,manuel,1.0,0.0,male,1.0,0.0,male
