first_name,male,female,sex
taylor,1,0,male
teddy,1,1,both
teresa,0,1,female
thomas,1,0,male
thunderstroke,1,0,male
tiffany,0,1,female
tim,1,0,male
timothy,1,0,male
tom,1,0,male
tomislav,1,1,both
tommy,1,0,male
tony,1,1,both
tracy,1,1,both
trump,1,0,male
tucker,1,0,male
val,1,1,both
vicki,0,1,female
vince,1,0,male
vincent,1,0,male
vishnunath,1,1,both
vivek,0,1,female
will,1,0,male
willem,1,0,male
william,1,0,male
wolf,1,0,male
z,1,0,male
zeke,1,0,male
éva,0,1,female
